OBJECTID,Place,Day,Date_of_Exposure,Time_of_Exposure,Address,Zone,Last_Updated,Exposure_area,Geolocation_Address,longitude,latitude,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area
181,Zatzman Sportsplex - Aqua Fit class in pool,Wed,12/08/2021, 11:30 to 13:30,110 Wyse Road- Dartmouth,Flight,12/04/2021 - 11:29,Zatzman Sportsplex - Aqua Fit class in pool,Zatzman Sportsplex - Aqua Fit class in pool - 110 Wyse Road- Dartmouth- Nova Scotia- Canada,-63.57557511,44.66895537,0.1,182,0.00683401,3.56e-06
182,Boston Pizza,Wed,12/08/2021, 11:30 to 13:30,68 Robie St.- Truro,Northern,11/29/2021 - 19:03,Boston Pizza,Boston Pizza - 68 Robie St.- Truro- Nova Scotia- Canada,-63.31462,45.36779,0.1,183,0.006885949000000001,3.6000000000000003e-06
183,Let’s Ko,Wed,12/08/2021, 11:30 to 13:30,30 Damascus Rd.- Unit 110- Bedford,Central,11/25/2021 - 20:15,Let’s Ko,Let’s Ko - 30 Damascus Rd.- Unit 110- Bedford- Nova Scotia- Canada,-63.64045523,44.75005267,0.1,184,0.006839934000000001,3.57e-06
184,McDonald s,Wed,12/08/2021, 11:30 to 13:30,272 Lacewood Dr.- Halifax,Central,11/26/2021 - 18:24,McDonald s,McDonald s - 272 Lacewood Dr.- Halifax- Nova Scotia- Canada,-63.65602998,44.66243993,0.1,185,0.006833535,3.56e-06
185,Chaba Thai,Wed,12/08/2021, 11:30 to 13:30,1511 Bedford Hwy.- Bedford,Central,11/25/2021 - 20:14,Chaba Thai,Chaba Thai - 1511 Bedford Hwy.- Bedford- Nova Scotia- Canada,-63.65857506,44.73142272,0.1,186,0.006838571,3.56e-06
186,Amherst Stadium,Wed,12/08/2021, 11:30 to 13:30,185 Church St.- Amherst,Northern,11/26/2021 - 18:30,Amherst Stadium,Amherst Stadium - 185 Church St.- Amherst- Nova Scotia- Canada,-64.19959121,45.8275436,0.1,187,0.006921251,3.63e-06
187,North Shore Recreation Centre,Wed,12/08/2021, 11:30 to 13:30,30 Blair Ave.- Tatamagouche,Northern,11/26/2021 - 18:34,North Shore Recreation Centre,North Shore Recreation Centre - 30 Blair Ave.- Tatamagouche- Nova Scotia- Canada,-63.30061549,45.71459473,0.1,188,0.0069124930000000005,3.63e-06
188,Pizza Delight,Wed,12/08/2021, 11:30 to 13:30,4 Robert Angus Dr.- Amherst,Northern,11/26/2021 - 18:32,Pizza Delight,Pizza Delight - 4 Robert Angus Dr.- Amherst- Nova Scotia- Canada,-64.20112006,45.81353002,0.1,189,0.006920161,3.63e-06
189,Yoka Japanese and Thai Restaurant,Wed,12/08/2021, 11:30 to 13:30,911 Prince St #1- Truro,Northern,11/24/2021 - 20:02,Yoka Japanese and Thai Restaurant,Yoka Japanese and Thai Restaurant - 911 Prince St #1- Truro- Nova Scotia- Canada,-63.27397781,45.36437749,0.1,190,0.006885690999999999,3.6000000000000003e-06
190,Pür and Simple,Wed,12/08/2021, 11:30 to 13:30,6140 Young St.- Halifax,Central,11/26/2021 - 18:26,Pür and Simple,Pür and Simple - 6140 Young St.- Halifax- Nova Scotia- Canada,-63.60479158,44.65776578,0.1,191,0.006833195,3.56e-06
191,The Press Gang Restaurant & Oyster Bar,Wed,12/08/2021, 11:30 to 13:30,5218 Prince Street- Halifax,Central,11/24/2021 - 19:59,The Press Gang Restaurant & Oyster Bar,The Press Gang Restaurant & Oyster Bar - 5218 Prince Street- Halifax- Nova Scotia- Canada,-63.57454998,44.64710994,0.1,192,0.006832419,3.56e-06
192,Steak and Stein,Wed,12/08/2021, 11:30 to 13:30,6061 Young St.- Halifax,Central,11/26/2021 - 18:23,Steak and Stein,Steak and Stein - 6061 Young St.- Halifax- Nova Scotia- Canada,-63.60372007,44.65865008,0.1,193,0.00683326,3.56e-06
193,Halifax Convention Centre - Convention Hall level,Wed,12/08/2021, 11:30 to 13:30,1650 Argyle Street- Halifax,Central,11/22/2021 - 19:39,Halifax Convention Centre - Convention Hall level,Halifax Convention Centre - Convention Hall level - 1650 Argyle Street- Halifax- Nova Scotia- Canada,-63.57457005,44.64659995,0.1,194,0.006832382,3.56e-06
194,Scotiabank Centre - section 8 – seats 1-12 in rows E- F- G- H- J,Wed,12/08/2021, 11:30 to 13:30,1800 Argyle St.- Halifax,Central,11/24/2021 - 20:01,Scotiabank Centre - section 8 – seats 1-12 in rows E- F- G- H- J,Scotiabank Centre - section 8 – seats 1-12 in rows E- F- G- H- J - 1800 Argyle St.- Halifax- Nova Scotia- Canada,-63.57557002,44.64853996,0.1,195,0.006832523,3.56e-06
195,Amherst Stadium,Wed,12/08/2021, 11:30 to 13:30,185 Church St.- Amherst,Northern,11/26/2021 - 18:28,Amherst Stadium,Amherst Stadium - 185 Church St.- Amherst- Nova Scotia- Canada,-64.19959121,45.8275436,0.1,196,0.006921251,3.63e-06
196,Amherst Stadium,Wed,12/08/2021, 11:30 to 13:30,185 Church St.- Amherst,Northern,11/23/2021 - 09:42,Amherst Stadium,Amherst Stadium - 185 Church St.- Amherst- Nova Scotia- Canada,-64.19959121,45.8275436,0.1,197,0.006921251,3.63e-06
197,Riverside Pub & Eatery,Wed,12/08/2021, 11:30 to 13:30,1552 Bedford Hwy- Bedford,Central,11/22/2021 - 19:39,Riverside Pub & Eatery,Riverside Pub & Eatery - 1552 Bedford Hwy- Bedford- Nova Scotia- Canada,-63.65648005,44.73249004,0.1,198,0.0068386490000000005,3.56e-06
198,Bowlarama Bayers Road,Wed,12/08/2021, 11:30 to 13:30,3459 Desmond Ave- Halifax,Central,11/23/2021 - 20:10,Bowlarama Bayers Road,Bowlarama Bayers Road - 3459 Desmond Ave- Halifax- Nova Scotia- Canada,-63.6276326,44.65579302,0.1,199,0.006833051,3.56e-06
199,Easy Street Dinner,Wed,12/08/2021, 11:30 to 13:30,3625 Dutch Village Road- Halifax,Central,11/23/2021 - 20:10,Easy Street Dinner,Easy Street Dinner - 3625 Dutch Village Road- Halifax- Nova Scotia- Canada,-63.63228757,44.65827754,0.1,200,0.006833232,3.56e-06
200,Halifax Transit Route #182 (First Lake Express) Sackville Terminal to Summer (QEII Health Sciences),Wed,12/08/2021, 11:30 to 13:30,Halifax Transit Bridge Terminal,Central,12/06/2021 - 18:50,Halifax Transit Route #182 (First Lake Express) Sackville Terminal to Summer (QEII Health Sciences),Halifax Transit Route #182 (First Lake Express) Sackville Terminal to Summer (QEII Health Sciences) - Halifax Transit Bridge Terminal- Nova Scotia- Canada,-61.63183000000001,45.76663995,0.1,201,0.006916521,3.63e-06
201,Air Canada 8106 Montreal to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,12/10/2021 - 23:49,Rows 16-22- seats A- C- and D and Rows 14-20- seats C- D and F,Air Canada 8106 Montreal to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,202,0.006849943000000001,3.57e-06
202,Maritime Bus,Wed,12/08/2021, 11:30 to 13:30,,Flight,12/09/2021 - 21:53,Antigonish to Halifax Airport,Maritime Bus - nan- Nova Scotia- Canada,-63.62346878,44.64376832,0.1,203,0.006832176,3.56e-06
203,Air Canada 1259 Orlando to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,12/06/2021 - 18:56,Passengers in rows 16-22- seats A- C and D,Air Canada 1259 Orlando to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,204,0.006849943000000001,3.57e-06
204,Air Canada 602 Toronto to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,12/09/2021 - 21:38,Rows 21-27- seats C- D- E- and F,Air Canada 602 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,205,0.006849943000000001,3.57e-06
205,Air Canada 614 Toronto to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,12/05/2021 - 18:37,Passengers in rows 11-17- seats- C- D- E and F.,Air Canada 614 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,206,0.006849943000000001,3.57e-06
206,Air Canada 604 Toronto to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,12/06/2021 - 18:53,Passengers in rows 12 to 17- seats A- C and D,Air Canada 604 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,207,0.006849943000000001,3.57e-06
207,Air Canada 8119 St. John’s to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,12/02/2021 - 18:48,Passengers in rows 10 to 16- seats A- C- D and F.,Air Canada 8119 St. John’s to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,208,0.006849943000000001,3.57e-06
208,WestJet 254 Toronto to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,12/01/2021 - 17:56,Passengers in rows 9 to 15- seats C- D- E and F.,WestJet 254 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,209,0.006849943000000001,3.57e-06
209,WestJet 254 Toronto to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,12/03/2021 - 18:51,Passengers in rows 1-6- seats C- D- E and F,WestJet 254 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,210,0.006849943000000001,3.57e-06
210,Air Canada 624 Toronto to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,12/03/2021 - 18:40,Passengers in rows 1-3- seats A-C and D,Air Canada 624 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,211,0.006849943000000001,3.57e-06
211,Air Canada 8106 Montreal to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,12/03/2021 - 18:41,Passengers in rows 23-27- seats A- C and D,Air Canada 8106 Montreal to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,212,0.006849943000000001,3.57e-06
212,Air Canada 624 Toronto to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,11/30/2021 - 20:03,Passengers in rows 26 to 32- seats C- D- E and F.,Air Canada 624 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,213,0.006849943000000001,3.57e-06
213,Air Canada Toronto to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,12/01/2021 - 17:54,Passengers in rows 2 to 15- seats C- D- E and F.,Air Canada Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,214,0.006849943000000001,3.57e-06
214,Air Canada 8070 Ottawa to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,11/29/2021 - 19:15,Passengers in rows 12 to 18- seats C- D and F.,Air Canada 8070 Ottawa to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,215,0.006849943000000001,3.57e-06
215,Air Canada 614 Toronto to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,11/28/2021 - 18:19,Passengers in rows 32 to 36- seats A- C and D,Air Canada 614 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,216,0.006849943000000001,3.57e-06
216,Air Canada 624 Toronto to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,11/30/2021 - 20:01,Passengers in rows 32 to 36- seats C- D- E and F.,Air Canada 624 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,217,0.006849943000000001,3.57e-06
217,Air Canada 8119 St. John’s to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,12/01/2021 - 17:52,Passengers in rows 4 to 10- seats C- D and F.,Air Canada 8119 St. John’s to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,218,0.006849943000000001,3.57e-06
218,WestJet 249 Halifax to Toronto,Wed,12/08/2021, 11:30 to 13:30,,Flight,11/29/2021 - 19:07,Passengers in rows 7 to 13- seats C- D- E and F.,WestJet 249 Halifax to Toronto - nan- Nova Scotia- Canada,-63.57655,44.64548,0.1,219,0.0068323,3.56e-06
219,Air Canada 626 Toronto to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,11/29/2021 - 19:11,Passengers in rows 24 to 30- seats A- B- C and D.,Air Canada 626 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,220,0.006849943000000001,3.57e-06
220,Air Canada 8106 Montreal to Halifax,Wed,12/08/2021, 11:30 to 13:30,Halifax Stanfield International Airport,Flight,11/23/2021 - 20:11,Passengers in rows 17 to 23- seats A- C and D.,Air Canada 8106 Montreal to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001,0.1,221,0.006849943000000001,3.57e-06
221,Halifax Transit Route #007 (Robie),Wed,12/08/2021, 11:30 to 13:30,Halifax Transit Bridge Terminal,Flight,11/23/2021 - 20:11,Novalea (Samuel Prince Manor) to North Ridge,Halifax Transit Route #007 (Robie) - Halifax Transit Bridge Terminal- Nova Scotia- Canada,-63.65307293,44.67330579,0.1,222,0.006834326999999999,3.56e-06
222,Halifax Transit Route #007 (Robie),Wed,12/08/2021, 11:30 to 13:30,Halifax Transit Bridge Terminal,Central,11/23/2021 - 20:10,North Ridge to Novalea (Samuel Prince Manor),Halifax Transit Route #007 (Robie) - Halifax Transit Bridge Terminal- Nova Scotia- Canada,-63.65307293,44.67330579,0.1,223,0.006834326999999999,3.56e-06
223,Halifax Transit Route #007 (Robie),Wed,12/08/2021, 11:30 to 13:30,Halifax Transit Bridge Terminal,Central,11/23/2021 - 20:11,Novalea (Samuel Prince Manor) to North Ridge,Halifax Transit Route #007 (Robie) - Halifax Transit Bridge Terminal- Nova Scotia- Canada,-63.65307293,44.67330579,0.1,224,0.006834326999999999,3.56e-06
224,Halifax Transit Route #007 (Robie),Wed,12/08/2021, 11:30 to 13:30,Halifax Transit Bridge Terminal,Central,11/23/2021 - 20:10,North Ridge to Novalea (Samuel Prince Manor),Halifax Transit Route #007 (Robie) - Halifax Transit Bridge Terminal- Nova Scotia- Canada,-63.65307293,44.67330579,0.1,225,0.006834326999999999,3.56e-06
